Job ID,Job Title,Company ID,Company Name,Job Location,Job Skills,Industry Sector,Experience Level,Job Type
J0047,Operations Engineer,C006,NorthWind Energy,"San Francisco, CA","Automation, Excel, Problem Solving, Process Improvement, Python",Energy,Entry,Intern
J0048,Financial Analyst,C003,Metro Policy Lab,"Atlanta, GA","Communication, Excel, Financial Modeling, Statistics",Government,Associate,Full-time
J0049,Systems Analyst,C017,ByteForge,"New York, NY","APIs, Documentation, Project Management, Requirements Gathering, SQL, Testing",Technology,Entry,Full-time
J0050,Software Engineer,C002,NorthBridge Finance,Remote,"APIs, Algorithms, Communication, Data Structures, Java, Linux, Python",Finance,Mid,Full-time
J0051,Data Analyst,C027,RetailNova,"Detroit, MI","APIs, Excel, Pandas, Python, SQL, Tableau",E-commerce,Associate,Full-time
J0052,Lab Analyst,C007,Insight Research Group,"New York, NY","Documentation, Excel, Laboratory Techniques, Quality Assurance",Research,Entry,Full-time
J0053,Research Assistant,C014,DriveCore,"Detroit, MI","Data Analysis, Documentation, Excel, Research",Automotive,Entry,Part-time
J0054,Policy Analyst,C018,CloudVista,"Detroit, MI","Communication, Documentation, Excel, Research, Statistics",Technology,Entry,Full-time
J0055,Design Engineer,C028,AeroNova,"Washington, DC","CAD, MATLAB, Problem Solving, SolidWorks, Testing",Aerospace,Entry,Intern
J0056,Business Analyst,C004,RetailGrid,"Seattle, WA","Excel, Power BI, Requirements Gathering, SQL, Tableau",Retail,Entry,Intern
J0057,Business Intelligence Analyst,C001,Peak Capital,"Seattle, WA","Communication, Data Visualization, Excel, Power BI, SQL, Statistics, Tableau",Finance,Entry,Full-time
J0058,Business Analyst,C029,Catalyst Advisory,"Atlanta, GA","Communication, Excel, Power BI, Requirements Gathering, SQL",Consulting,Entry,Intern
J0059,Business Analyst,C026,Summit Bank,"Chicago, IL","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Finance,Associate,Full-time
J0060,Research Analyst,C030,NovaAI,"Detroit, MI","APIs, Data Visualization, Documentation, SQL, Statistics",Technology,Entry,Intern
J0061,Marketing Analyst,C016,Quantive Systems,"Austin, TX","Communication, Data Visualization, SQL, Statistics",Technology,Entry,Full-time
J0062,Data Analyst,C004,RetailGrid,"Washington, DC","Data Visualization, Python, SQL, Statistics, Tableau",Retail,Entry,Full-time
J0063,Quality Engineer,C021,TerraVolt,"San Francisco, CA","Documentation, Excel, Process Improvement, Statistics",Energy,Entry,Full-time
J0064,Systems Analyst,C031,Verity Strategy,"New York, NY","Communication, Documentation, Project Management, Requirements Gathering, SQL, Testing",Consulting,Entry,Full-time
J0065,Research Analyst,C029,Catalyst Advisory,"Boston, MA","Communication, Data Visualization, Documentation, Research, SQL, Statistics",Consulting,Entry,Intern
J0066,Research Analyst,C003,Metro Policy Lab,"Boston, MA","Data Visualization, Documentation, Excel, Research, SQL",Government,Entry,Intern
J0067,Research Analyst,C032,Public Systems Office,"San Francisco, CA","Data Visualization, Documentation, Research, SQL, Statistics",Government,Entry,Intern
J0068,Marketing Analyst,C004,RetailGrid,Remote,"A/B Testing, Communication, Data Visualization, Excel, Statistics",Retail,Associate,Full-time
J0069,Research Assistant,C033,BrightRx,"San Francisco, CA","Data Analysis, Excel, Research, Statistics",Pharmaceuticals,Entry,Intern
J0070,Hardware Test Engineer,C034,Orion Industrial,"Atlanta, GA","Circuit Analysis, Documentation, Python, Signal Processing",Manufacturing,Entry,Intern
J0071,Manufacturing Engineer,C010,Orbital Dynamics,"Washington, DC","CAD, Process Improvement, Quality Assurance, SolidWorks",Aerospace,Entry,Full-time
J0072,Business Intelligence Analyst,C035,BluePeak Consulting,"New York, NY","Communication, Data Visualization, Excel, Power BI, SQL, Statistics, Tableau",Consulting,Entry,Intern
J0073,Manufacturing Engineer,C010,Orbital Dynamics,"Seattle, WA","Documentation, Process Improvement, Quality Assurance, SolidWorks",Aerospace,Entry,Intern
J0074,Data Analyst,C030,NovaAI,"New York, NY","Excel, Pandas, Python, SQL, Statistics, Tableau",Technology,Entry,Intern
J0075,Data Analyst,C009,OakStone Advisors,"Atlanta, GA","Data Visualization, Pandas, Python, SQL, Tableau",Finance,Entry,Intern
J0076,Business Analyst,C036,Insight Partners,"Boston, MA","Communication, Excel, SQL, Tableau",Consulting,Entry,Intern
J0077,Quality Analyst,C019,HelixPath,"Boston, MA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Biotech,Entry,Intern
J0078,Systems Analyst,C036,Insight Partners,"New York, NY","Communication, Documentation, Project Management, Requirements Gathering, SQL, Testing",Consulting,Entry,Full-time
J0079,Embedded Software Engineer,C025,NexaTech,"New York, NY","C++, Embedded Systems, Linux, MATLAB",Technology,Entry,Intern
J0080,Software Engineer,C027,RetailNova,Remote,"APIs, Data Structures, Git, Java, Python, SQL",E-commerce,Entry,Full-time
J0081,Embedded Software Engineer,C013,PrimeMotion,"New York, NY","C++, Embedded Systems, MATLAB, Python",Manufacturing,Entry,Intern
J0082,Business Analyst,C031,Verity Strategy,"Boston, MA","Communication, Requirements Gathering, SQL, Tableau",Consulting,Entry,Intern
J0083,Controls Engineer,C006,NorthWind Energy,Remote,"Automation, MATLAB, Python, Testing",Energy,Entry,Intern
J0084,Clinical Data Analyst,C019,HelixPath,"Atlanta, GA","Documentation, Excel, SQL, Statistics",Biotech,Entry,Intern
J0085,Machine Learning Engineer,C018,CloudVista,"New York, NY","Cloud, Git, Machine Learning, Python, Statistics",Technology,Entry,Intern
J0086,Data Analyst,C037,MedIntel,"Detroit, MI","Data Visualization, Excel, Pandas, Statistics, Tableau",Healthcare,Associate,Full-time
J0087,Research Assistant,C038,Center for Applied Research,"Washington, DC","Data Analysis, Documentation, Excel, Research, Statistics",Research,Entry,Intern
J0088,Quality Engineer,C039,SkyAxis,"Detroit, MI","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Aerospace,Entry,Full-time
J0089,Business Analyst,C040,MarketLane,"Austin, TX","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Retail,Entry,Full-time
J0090,Lab Analyst,C033,BrightRx,"Seattle, WA","Documentation, Excel, Laboratory Techniques, Quality Assurance",Pharmaceuticals,Entry,Full-time
J0091,Business Analyst,C031,Verity Strategy,"Atlanta, GA","Communication, Excel, Power BI, SQL, Tableau",Consulting,Entry,Intern
J0092,Systems Analyst,C018,CloudVista,"Chicago, IL","APIs, Documentation, Project Management, Requirements Gathering, SQL, Testing",Technology,Entry,Intern
J0093,Clinical Data Analyst,C037,MedIntel,Remote,"Documentation, Excel, SQL, Statistics",Healthcare,Associate,Full-time
J0094,Quality Engineer,C041,Vector Manufacturing,"Atlanta, GA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Manufacturing,Entry,Full-time
J0095,Data Analyst,C025,NexaTech,"Detroit, MI","APIs, Data Visualization, Pandas, Python, SQL, Statistics, Tableau",Technology,Entry,Intern
J0096,Research Analyst,C036,Insight Partners,"Boston, MA","Data Visualization, Documentation, SQL, Statistics",Consulting,Entry,Full-time
J0097,Research Assistant,C042,GeneNova,"Chicago, IL","Data Analysis, Documentation, Excel, Research, Statistics",Biotech,Entry,Part-time
J0098,Manufacturing Engineer,C043,SteelArc,"Detroit, MI","CAD, Documentation, Process Improvement, Quality Assurance",Manufacturing,Entry,Intern
J0099,Operations Analyst,C009,OakStone Advisors,"Seattle, WA","Communication, Power BI, Process Improvement, SQL, Statistics",Finance,Entry,Intern
J0100,Design Engineer,C043,SteelArc,Remote,"CAD, MATLAB, Problem Solving, SolidWorks",Manufacturing,Entry,Intern
J0101,Data Analyst,C026,Summit Bank,"Seattle, WA","Communication, Excel, Pandas, Python, SQL, Statistics, Tableau",Finance,Associate,Full-time
J0102,Quality Analyst,C038,Center for Applied Research,"San Francisco, CA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Research,Entry,Intern
J0103,Data Analyst,C001,Peak Capital,"Boston, MA","Data Visualization, Python, SQL, Statistics, Tableau",Finance,Entry,Intern
J0104,Business Analyst,C040,MarketLane,"New York, NY","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Retail,Associate,Full-time
J0105,Clinical Data Analyst,C019,HelixPath,"Atlanta, GA","Data Analysis, Documentation, Excel, SQL, Statistics",Biotech,Mid,Full-time
J0106,Design Engineer,C039,SkyAxis,"Boston, MA","CAD, MATLAB, Problem Solving, Testing",Aerospace,Associate,Full-time
J0107,Quality Analyst,C015,NorthPoint Health,"Boston, MA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Healthcare,Mid,Full-time
J0108,Systems Analyst,C036,Insight Partners,"New York, NY","Documentation, Requirements Gathering, SQL, Testing",Consulting,Associate,Full-time
J0109,Data Analyst,C002,NorthBridge Finance,"Detroit, MI","Data Visualization, Excel, Python, SQL, Statistics",Finance,Associate,Full-time
J0110,Data Analyst,C035,BluePeak Consulting,"Washington, DC","Data Visualization, Excel, Pandas, Python, SQL, Statistics",Consulting,Entry,Intern
J0111,Manufacturing Engineer,C014,DriveCore,"San Francisco, CA","CAD, Documentation, Process Improvement, Quality Assurance, SolidWorks",Automotive,Entry,Intern
J0112,Business Intelligence Analyst,C009,OakStone Advisors,"New York, NY","Data Visualization, Power BI, SQL, Statistics, Tableau",Finance,Associate,Full-time
J0113,Data Analyst,C002,NorthBridge Finance,"Detroit, MI","Data Visualization, Pandas, Python, SQL, Statistics",Finance,Entry,Intern
J0114,Clinical Data Analyst,C042,GeneNova,"New York, NY","Data Analysis, Documentation, Excel, SQL, Statistics",Biotech,Entry,Intern
J0115,Business Analyst,C031,Verity Strategy,"Seattle, WA","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Consulting,Entry,Full-time
J0116,Hardware Test Engineer,C041,Vector Manufacturing,"New York, NY","Circuit Analysis, Documentation, MATLAB, Python, Signal Processing",Manufacturing,Entry,Intern
J0117,Business Intelligence Analyst,C029,Catalyst Advisory,"San Francisco, CA","Excel, Power BI, SQL, Tableau",Consulting,Entry,Intern
J0118,Policy Analyst,C025,NexaTech,"Seattle, WA","APIs, Communication, Documentation, Excel, Research",Technology,Associate,Full-time
J0119,Software Engineer,C002,NorthBridge Finance,"New York, NY","APIs, Algorithms, Java, Linux, Python, SQL",Finance,Entry,Intern
J0120,Research Assistant,C044,Aster Pharma,"Washington, DC","Data Analysis, Documentation, Excel, Research, Statistics",Pharmaceuticals,Entry,Intern
J0121,Data Analyst,C036,Insight Partners,"New York, NY","Communication, Data Visualization, Excel, Pandas, Python, Statistics",Consulting,Entry,Intern
J0122,Systems Analyst,C005,CuraData,"Atlanta, GA","Documentation, Requirements Gathering, SQL, Testing",Healthcare,Mid,Full-time
J0123,Software Engineer,C037,MedIntel,"Detroit, MI","APIs, Data Structures, Git, Java, Linux, SQL",Healthcare,Entry,Intern
J0124,Data Analyst,C030,NovaAI,"Austin, TX","Data Visualization, Excel, Pandas, Python, SQL, Statistics",Technology,Entry,Intern
J0125,Cloud Analyst,C009,OakStone Advisors,"Washington, DC","Linux, Monitoring, Python, SQL",Finance,Entry,Full-time
J0126,Systems Analyst,C015,NorthPoint Health,"San Francisco, CA","Documentation, Project Management, Requirements Gathering, SQL",Healthcare,Associate,Full-time
J0127,Quality Engineer,C010,Orbital Dynamics,"San Francisco, CA","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Aerospace,Associate,Full-time
J0128,Research Analyst,C037,MedIntel,"Atlanta, GA","Data Visualization, Documentation, Excel, SQL, Statistics",Healthcare,Entry,Full-time
J0129,Business Intelligence Analyst,C026,Summit Bank,"Atlanta, GA","Excel, Power BI, SQL, Statistics",Finance,Entry,Intern
J0130,Research Assistant,C022,CareSphere,"Detroit, MI","Data Analysis, Documentation, Excel, Research, Statistics",Healthcare,Entry,Intern
J0131,Quality Analyst,C005,CuraData,"New York, NY","Documentation, Excel, Quality Assurance, Statistics",Healthcare,Entry,Intern
J0132,Operations Engineer,C034,Orion Industrial,"Washington, DC","Excel, Problem Solving, Process Improvement, Python",Manufacturing,Mid,Full-time
J0133,Systems Analyst,C022,CareSphere,"Austin, TX","Documentation, Project Management, Requirements Gathering, SQL",Healthcare,Entry,Full-time
J0134,Machine Learning Engineer,C036,Insight Partners,Remote,"Cloud, Communication, Machine Learning, Pandas, Python, SQL",Consulting,Entry,Full-time
J0135,Machine Learning Engineer,C009,OakStone Advisors,"Austin, TX","Cloud, Machine Learning, Pandas, Python, Statistics",Finance,Entry,Intern
J0136,Research Assistant,C044,Aster Pharma,"Seattle, WA","Data Analysis, Documentation, Excel, Research, Statistics",Pharmaceuticals,Mid,Part-time
J0137,Hardware Test Engineer,C045,TorqueWorks,"Detroit, MI","Circuit Analysis, MATLAB, Python, Signal Processing",Automotive,Entry,Full-time
J0138,Operations Analyst,C018,CloudVista,"Atlanta, GA","Communication, Excel, Power BI, SQL, Statistics",Technology,Associate,Part-time
J0139,Operations Analyst,C023,ShopScale,"Boston, MA","Excel, Power BI, Process Improvement, SQL",Retail,Entry,Part-time
J0140,Manufacturing Engineer,C021,TerraVolt,"Washington, DC","Documentation, Process Improvement, Quality Assurance, SolidWorks",Energy,Entry,Full-time
J0141,Systems Analyst,C036,Insight Partners,"Chicago, IL","Communication, Documentation, Project Management, Requirements Gathering, Testing",Consulting,Entry,Intern
J0142,Business Analyst,C024,UrbanCart,"New York, NY","Communication, Excel, Power BI, Requirements Gathering, SQL",Retail,Entry,Intern
J0143,Software Engineer,C027,RetailNova,"Chicago, IL","APIs, Data Structures, Git, Linux, Python, SQL",E-commerce,Entry,Intern
J0144,Data Analyst,C005,CuraData,"Chicago, IL","Data Visualization, Excel, Python, SQL, Statistics",Healthcare,Entry,Full-time
J0145,Marketing Analyst,C031,Verity Strategy,"Boston, MA","A/B Testing, Communication, Data Visualization, Excel, Statistics",Consulting,Entry,Intern
J0146,Manufacturing Engineer,C008,GridSpring,"Atlanta, GA","CAD, Documentation, Process Improvement, Quality Assurance",Energy,Entry,Intern
J0147,Embedded Software Engineer,C046,Motivon Systems,"Atlanta, GA","C++, Embedded Systems, Python, Testing",Automotive,Mid,Full-time
J0148,Business Intelligence Analyst,C018,CloudVista,"Boston, MA","Data Visualization, Excel, Power BI, SQL, Statistics, Tableau",Technology,Entry,Intern
J0149,Operations Analyst,C036,Insight Partners,"San Francisco, CA","Communication, Excel, Power BI, Process Improvement, SQL, Statistics",Consulting,Entry,Full-time
J0150,Data Analyst,C036,Insight Partners,"Seattle, WA","Communication, Data Visualization, Pandas, Python, SQL, Statistics, Tableau",Consulting,Entry,Intern
J0151,Cloud Analyst,C027,RetailNova,"Atlanta, GA","APIs, Cloud, Linux, Monitoring, Python, SQL, Troubleshooting",E-commerce,Entry,Intern
J0152,Business Intelligence Analyst,C037,MedIntel,"Chicago, IL","Data Visualization, Power BI, Statistics, Tableau",Healthcare,Entry,Intern
J0153,Systems Analyst,C015,NorthPoint Health,"New York, NY","Documentation, Project Management, Requirements Gathering, SQL, Testing",Healthcare,Entry,Intern
J0154,Software Engineer,C037,MedIntel,"Chicago, IL","Algorithms, Data Structures, Git, Java, Linux, SQL",Healthcare,Entry,Intern
J0155,Data Analyst,C036,Insight Partners,"Seattle, WA","Data Visualization, Excel, Python, SQL, Statistics, Tableau",Consulting,Entry,Intern
J0156,Marketing Analyst,C001,Peak Capital,"Chicago, IL","A/B Testing, Communication, Excel, SQL",Finance,Entry,Full-time
J0157,Lab Analyst,C037,MedIntel,"Detroit, MI","Data Analysis, Documentation, Laboratory Techniques, Quality Assurance",Healthcare,Entry,Part-time
J0158,Machine Learning Engineer,C018,CloudVista,"Chicago, IL","Machine Learning, Pandas, Python, SQL, Statistics",Technology,Entry,Intern
J0159,Policy Analyst,C002,NorthBridge Finance,"Boston, MA","Communication, Documentation, Excel, Research, Statistics",Finance,Associate,Full-time
J0160,Machine Learning Engineer,C030,NovaAI,"Chicago, IL","APIs, Cloud, Git, Machine Learning, Pandas, Python, SQL",Technology,Associate,Full-time
J0161,Machine Learning Engineer,C035,BluePeak Consulting,"Seattle, WA","Git, Machine Learning, Python, SQL, Statistics",Consulting,Entry,Intern
J0162,Research Assistant,C037,MedIntel,"Boston, MA","Data Analysis, Documentation, Excel, Research, Statistics",Healthcare,Entry,Intern
J0163,Machine Learning Engineer,C005,CuraData,"Atlanta, GA","Cloud, Git, Pandas, Python, SQL, Statistics",Healthcare,Entry,Full-time
J0164,Business Analyst,C001,Peak Capital,"San Francisco, CA","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Finance,Entry,Full-time
J0165,Systems Analyst,C004,RetailGrid,"Boston, MA","Documentation, Project Management, Requirements Gathering, Testing",Retail,Entry,Full-time
J0166,Research Analyst,C030,NovaAI,"San Francisco, CA","APIs, Data Visualization, Documentation, Excel, Research, SQL, Statistics",Technology,Entry,Intern
J0167,Business Analyst,C035,BluePeak Consulting,Remote,"Communication, Excel, Power BI, Requirements Gathering, SQL",Consulting,Entry,Intern
J0168,Cloud Analyst,C009,OakStone Advisors,"Detroit, MI","Cloud, Linux, Monitoring, Python, SQL, Troubleshooting",Finance,Entry,Intern
J0169,Business Analyst,C025,NexaTech,"San Francisco, CA","Communication, Excel, Power BI, Requirements Gathering, SQL",Technology,Entry,Full-time
J0170,Design Engineer,C043,SteelArc,"New York, NY","CAD, Problem Solving, SolidWorks, Testing",Manufacturing,Entry,Intern
J0171,IT Analyst,C004,RetailGrid,Remote,"Communication, Documentation, SQL, Systems Support, Troubleshooting",Retail,Entry,Full-time
J0172,Quality Analyst,C007,Insight Research Group,"New York, NY","Documentation, Excel, Process Improvement, Quality Assurance, Statistics",Research,Associate,Full-time
J0173,Systems Analyst,C017,ByteForge,"Atlanta, GA","APIs, Documentation, Project Management, SQL, Testing",Technology,Entry,Full-time
J0174,Business Intelligence Analyst,C018,CloudVista,"San Francisco, CA","APIs, Data Visualization, Power BI, SQL, Statistics, Tableau",Technology,Entry,Intern
J0175,Hardware Test Engineer,C008,GridSpring,"New York, NY","Circuit Analysis, MATLAB, Python, Signal Processing",Energy,Entry,Full-time
J0176,Systems Analyst,C037,MedIntel,"Atlanta, GA","Documentation, Project Management, SQL, Testing",Healthcare,Entry,Intern
J0177,Research Analyst,C026,Summit Bank,"Boston, MA","Data Visualization, Documentation, Excel, Research, SQL, Statistics",Finance,Entry,Intern
J0178,Cloud Analyst,C005,CuraData,"Detroit, MI","Cloud, Linux, Python, SQL, Troubleshooting",Healthcare,Entry,Intern
J0179,Embedded Software Engineer,C011,Axion Mobility,"New York, NY","C++, Embedded Systems, Linux, Python",Automotive,Entry,Intern
J0180,Software Engineer,C017,ByteForge,"San Francisco, CA","APIs, Data Structures, Git, Java, Python, SQL",Technology,Associate,Full-time
J0181,Software Engineer,C012,CartLift,"Austin, TX","APIs, Algorithms, Data Structures, Git, Java, Linux",E-commerce,Entry,Full-time
J0182,Design Engineer,C006,NorthWind Energy,"New York, NY","CAD, MATLAB, Problem Solving, SolidWorks",Energy,Entry,Full-time
J0183,Controls Engineer,C011,Axion Mobility,Remote,"Automation, Python, Signal Processing, Testing",Automotive,Entry,Intern
J0184,Operations Engineer,C010,Orbital Dynamics,"Boston, MA","Automation, Excel, Problem Solving, Process Improvement, Python",Aerospace,Entry,Full-time
J0185,Data Analyst,C018,CloudVista,"Atlanta, GA","Data Visualization, Excel, Pandas, SQL, Statistics, Tableau",Technology,Entry,Full-time
J0186,Data Analyst,C029,Catalyst Advisory,"Chicago, IL","Communication, Data Visualization, Excel, Pandas, Python, SQL",Consulting,Associate,Full-time
J0187,Data Analyst,C002,NorthBridge Finance,Remote,"Communication, Data Visualization, Excel, Python, SQL, Tableau",Finance,Entry,Full-time
J0188,Marketing Analyst,C017,ByteForge,Remote,"A/B Testing, Communication, Data Visualization, Excel, SQL, Statistics",Technology,Entry,Full-time
J0189,Lab Analyst,C047,Frontier Lab,"New York, NY","Data Analysis, Documentation, Excel, Laboratory Techniques, Quality Assurance",Research,Mid,Full-time
J0190,Software Engineer,C009,OakStone Advisors,"Atlanta, GA","APIs, Algorithms, Data Structures, Java, Linux, SQL",Finance,Entry,Intern
J0191,Business Analyst,C022,CareSphere,"Atlanta, GA","Communication, Excel, Power BI, Requirements Gathering, SQL, Tableau",Healthcare,Entry,Full-time
J0192,Data Analyst,C002,NorthBridge Finance,"San Francisco, CA","Data Visualization, Pandas, Python, SQL, Statistics, Tableau",Finance,Entry,Intern
J0193,Cloud Analyst,C016,Quantive Systems,"Detroit, MI","Cloud, Linux, Monitoring, Python, SQL, Troubleshooting",Technology,Entry,Intern
J0194,Data Analyst,C023,ShopScale,"Washington, DC","Data Visualization, Excel, Pandas, SQL, Statistics, Tableau",Retail,Entry,Intern
J0195,Business Intelligence Analyst,C005,CuraData,"Atlanta, GA","Data Visualization, Excel, SQL, Statistics",Healthcare,Entry,Intern
J0196,Research Analyst,C029,Catalyst Advisory,"Boston, MA","Data Visualization, Documentation, Excel, Research, SQL, Statistics",Consulting,Entry,Full-time
J0197,Research Assistant,C011,Axion Mobility,Remote,"Data Analysis, Documentation, Research, Statistics",Automotive,Associate,Part-time
J0198,Policy Analyst,C036,Insight Partners,"Washington, DC","Communication, Documentation, Excel, Research, Statistics",Consulting,Entry,Intern
J0199,Operations Engineer,C034,Orion Industrial,"New York, NY","Automation, Excel, Problem Solving, Python",Manufacturing,Entry,Intern
